
Werkplaats

datum 	gas 	electra 	electra hoofd meter tarief 1 	electra hoofd meter tarief 2 	water 	LaserSaur Buisuren
31-12-2015 	207978 	88126 	683048 	545952 	00006 	
29-2-2016 	208381 	89288 			00006 	
6-4-2016 		89288 				
5-5-2016 	208641,52 	89749 	691725 	553843 	00010,24 	
29-11-2016 	208871 	92931 				
12-12-2016 	208993 					
08-01-2017 	209140 					
20-01-2017 	209230 					
17-06-2017 						0066,65
29-08-2017 	209569 	97826 			0024,18 	





Altelier 14



datum 	gas 	electra 	water
1-9-14 	11119,333 	02261 	00000,134
7-10-14 	11123,070 	02298 	
31-10-14 	11132,544 	02299 	
28-11-14 	11190,507 	02308 	00001,452
31-12-14 	11316,248 	02320 	
30-01-15 	11410,612 	02339 	00001,722
27-02-15 	11539,496 	2352 	00001,973
07-04-2015 	11634,200 	2366 	00002,163
30-05-2015 	11660,649 	2405 	0000xxx
29-10-2015 	11707,882 	2467 	0000.3xx
10-12-2015 	11787,258 	2490 	
31-12-2015 	11833,129 	02497 	00004
31-03-2015 	12018, 	02538 	0004 
